j1,j2
1.5341198390826150e-02,2.2746345262226689e+04
2.2589921382940026e-02,3.3308609486925285e+04
2.7633765571163482e-02,4.0587572061583705e+04
3.7094997013831232e-02,5.4084745428159025e+04
4.6307056869405616e-02,6.7029249423440531e+04
5.5387549409016801e-02,7.9597530825384631e+04
6.3378865329022593e-02,9.0500400748635788e+04
7.1591324970731285e-02,1.0155028982244139e+05
8.1600283557161424e-02,1.1480436521332836e+05
8.9035944174661208e-02,1.2449862383784969e+05
9.9295097679097499e-02,1.3765993230369576e+05
1.0884375304507254e-01,1.4968557931171259e+05
1.2477901946970216e-01,1.6927003518072472e+05
1.3627506529760514e-01,1.8301978170273791e+05
