j1,j2,j3,j4,j5,j6,j7
3.9508434189119179e+00,-1.2117236765802854e+01,3.7163565160717354e+01,-1.1398065434792012e+02,-3.6430777688985072e+04,1.1173319517211722e+05,-3.4268570959288353e+05
4.0155434789365945e+00,-1.1970335110709987e+01,3.5683568965026474e+01,-1.0637271908474391e+02,-3.4372405398584240e+04,1.0246414049317963e+05,-3.0544560281016846e+05
4.0689673370379111e+00,-1.1885453591487737e+01,3.4717409940735678e+01,-1.0140955443688891e+02,-3.3107340569424035e+04,9.6706541803287590e+04,-2.8247980860740307e+05
4.0775239468740745e+00,-1.1873749733297304e+01,3.4576359223361749e+01,-1.0068635805842942e+02,-3.2927578786074264e+04,9.5885109425048257e+04,-2.7921743864574051e+05
4.1506727410378605e+00,-1.1787910584547523e+01,3.3477666060114970e+01,-9.5076571610726504e+01,-3.1566859360191040e+04,8.9649880582942555e+04,-2.5460566085555684e+05
4.1980149700067724e+00,-1.1741847871108941e+01,3.2841948495491714e+01,-9.1858929941890338e+01,-3.0808235123513994e+04,8.6170633640468644e+04,-2.4101926229239086e+05
4.3106610740333826e+00,-1.1647406222038201e+01,3.1471291611947215e+01,-8.5035429935481375e+01,-2.9226386563558841e+04,7.8969696494735981e+04,-2.1337611992877661e+05
4.3143710460672864e+00,-1.1644487453335605e+01,3.1428471636552796e+01,-8.4825444947055999e+01,-2.9177841087924862e+04,7.8750993096309205e+04,-2.1254893036693853e+05
4.3977869902243345e+00,-1.1579373145260671e+01,3.0488489491471348e+01,-8.0276192831044057e+01,-2.8119423242455643e+04,7.4038441397385715e+04,-1.9494321619931658e+05
4.5961824450108129e+00,-1.1403128646071828e+01,2.8291162170904201e+01,-7.0190373346013317e+01,-2.5638255149317451e+04,6.3608511025456588e+04,-1.5781271585415781e+05
4.7441640136651104e+00,-1.1210459564290655e+01,2.6490315950418822e+01,-6.2596616590839673e+01,-2.3518024002620543e+04,5.5573090718192339e+04,-1.3131921336708852e+05
4.7915877903435495e+00,-1.1126066849177723e+01,2.5834727223790676e+01,-5.9988236613641952e+01,-2.2717095152263319e+04,5.2749094943555428e+04,-1.2248339845893571e+05
4.3268937985177320e+00,-6.4946675915751158e+00,9.7484960549542485e+00,-1.4632492578486326e+01,-2.2096701371923505e+03,3.3167148759257184e+03,-4.9783890287645027e+03
4.2188182921211039e+00,-6.1594747064968116e+00,8.9928330714853431e+00,-1.3129536284368601e+01,-1.4970416369361874e+03,2.1856807899268338e+03,-3.1910939532931775e+03
3.6786282822444978e+00,-4.6865724315794903e+00,5.9706932778322699e+00,-7.6066632359583126e+00,7.8361841731953052e+02,-9.9832986366508180e+02,1.2718722463093143e+03
3.4896755241629425e+00,-4.2294867352854864e+00,5.1261379231660094e+00,-6.2128791628772033e+00,1.2242296000212568e+03,-1.4837662752257634e+03,1.7983247255736251e+03
3.1501023783272957e+00,-3.4651126161600252e+00,3.8116238777760283e+00,-4.1927862655536314e+00,1.6938064268786623e+03,-1.8631870695665289e+03,2.0495057765231822e+03
2.9902148222118798e+00,-3.1277647040336265e+00,3.2716418804191734e+00,-3.4221374069184560e+00,1.7978167805906098e+03,-1.8805163524977779e+03,1.9670201047126759e+03
2.6206346512139196e+00,-2.3978807058607363e+00,2.1940608458625741e+00,-2.0075656739642551e+00,1.8139175883620817e+03,-1.6597345933513050e+03,1.5186571529164439e+03
2.1199075560549328e+00,-1.5136139950232219e+00,1.0807203924465805e+00,-7.7163436020685838e-01,1.4650972924633754e+03,-1.0460794668188498e+03,7.4690073930865879e+02
1.8080687139128333e+00,-1.0233668920746635e+00,5.7922566091425942e-01,-3.2784172407747081e-01,1.1057107695871414e+03,-6.2583229558632183e+02,3.5422107930185820e+02
1.7676711962762330e+00,-9.6338080197054698e-01,5.2504253707394821e-01,-2.8614818270530173e-01,1.0539015139745591e+03,-5.7437632511613469e+02,3.1303509718829343e+02
1.5133171912832928e+00,-6.0532687651331718e-01,2.4213075060532691e-01,-9.6852300242130762e-02,7.1012317595811658e+02,-2.8404927038324666e+02,1.1361970815329867e+02
1.3741601469765030e+00,-4.2461548541573940e-01,1.3120618499346348e-01,-4.0542711162980215e-02,5.1465407476107612e+02,-1.5902810910117250e+02,4.9139685712262306e+01
1.1164606340378456e+00,-1.2169420911012516e-01,1.3264668793003642e-02,-1.4458488984373970e-03,1.5520653155503561e+02,-1.6917511939498880e+01,1.8440088014053775e+00
