j1,j2
3.8056921475507433e-02,1.8661695723375156e+04
5.5830902338886434e-02,2.7121257330315486e+04
6.8118855696285729e-02,3.2872107365313524e+04
9.0990741965420119e-02,4.3359741608249460e+04
1.1303521615233758e-01,5.3195712911263552e+04
1.3454508759689310e-01,6.2529117421124472e+04
1.5329251654961162e-01,7.0446062623072314e+04
1.7237903405197885e-01,7.8292943378682801e+04
1.9539193829690804e-01,8.7460896307126095e+04
2.1230947418369284e-01,9.3991171993030846e+04
2.3539812082511280e-01,1.0260957218526986e+05
2.5662154258800485e-01,1.1022444077276358e+05
2.9146087565507139e-01,1.2206357764652258e+05
3.1613859078764417e-01,1.2993366775034761e+05
