j1,j2,j3,j4,j5,j6,j7,j8
9.9044593289721605e-01,-9.5082809558132737e+01,5.5492669444098031e-09,-1.5484674481681116e-07,6.7513180740129666e-07,5.8461966348473660e-14,-1.9104435211219617e-12,1.0545648236593228e-11
9.8098314599263647e-01,-1.8834876403058621e+02,7.8527660826679034e-09,-2.1711327665360219e-07,9.3792935514356142e-07,9.0774317157641975e-14,-2.9448640875013583e-12,1.6137855199507444e-11
9.7161076718912276e-01,-2.7982390095046736e+02,1.1076944065850681e-08,-3.0341965185178184e-07,1.2986361099256263e-06,1.4049563138015151e-13,-4.5246337094715028e-12,2.4614007379524979e-11
9.6232793272161044e-01,-3.6953392616509842e+02,1.5574980878162085e-08,-4.2264268110980630e-07,1.7920049679055787e-06,2.1675688826189617e-13,-6.9292842039562968e-12,3.7418134701363999e-11
9.5313378707750473e-01,-4.5750421779720227e+02,2.1829577951254781e-08,-5.8677905532972852e-07,2.4644720323848601e-06,3.3334446838486542e-13,-1.0577419995213842e-11,5.6694971174346196e-11
9.4402748291783567e-01,-5.4375983016067335e+02,3.0498144233117118e-08,-8.1198259206251027e-07,3.3778475829800431e-06,5.1100347721709863e-13,-1.6093747912866188e-11,8.5618738896448128e-11
9.3500818099916638e-01,-6.2832549763143982e+02,4.2472883497506719e-08,-1.1199249920622570e-06,4.6140909672964992e-06,7.8084478782555441e-13,-2.4407334039936049e-11,1.2887072373086236e-10
9.2607505009624835e-01,-7.1122563847391871e+02,5.8960388492571766e-08,-1.5395736643180340e-06,6.2814605504175789e-06,1.1893668609685343e-12,-3.6895111520732709e-11,1.9333038436863941e-10
9.1722726692541479e-01,-7.9248435862355836e+02,8.1586665607686507e-08,-2.1095048259523423e-06,8.5223994968474639e-06,1.8058314375132171e-12,-5.5590714972406881e-11,2.8907171785651579e-10
9.0846401606870619e-01,-8.7212545542595797e+02,1.1253517471925912e-07,-2.8809004728130333e-06,1.1523601891252133e-05,2.7330579647641813e-12,-8.3487268261244395e-11,4.3079430422802104e-10
8.9978448989872106e-01,-9.5017242133304944e+02,1.5472755133122442e-07,-3.9214150609385517e-06,1.5528803641316665e-05,4.1231651797749123e-12,-1.2497478586504951e-10,6.3987090362905348e-10
8.9118788850418440e-01,-1.0266484475568204e+03,2.1205927548738141e-07,-5.3201431034274241e-06,2.0854960965435502e-05,6.2004453240327726e-12,-1.8646971249683199e-10,9.4726613948390645e-10
8.8267341961622714e-01,-1.1015764276810514e+03,2.8970577440751776e-07,-7.1939737900874808e-06,2.7912618305539424e-05,9.2944840930669515e-12,-2.7731766298802003e-10,1.3976810214596211e-09
8.7424029853536989e-01,-1.1749789612315371e+03,3.9451842226268610e-07,-9.6956847455277738e-06,3.7231429422826653e-05,1.3887943864964021e-11,-4.1108313840293506e-10,2.0554156920146753e-09
8.6588774805920499e-01,-1.2468783572052553e+03,5.3553478027931087e-07,-1.3024205856392839e-05,4.9491982254292793e-05,2.0685254758342638e-11,-6.0738527252016645e-10,3.0126309517000258e-09
8.5761499841076883e-01,-1.3172966375589408e+03,7.2463337474713437e-07,-1.7437577529915041e-05,6.5565291512480550e-05,3.0711006735623437e-11,-8.9450106658446245e-10,4.4009452475955546e-09
8.4942128716759835e-01,-1.3862555406575204e+03,9.7737053389683520e-07,-2.3269237671015854e-05,8.6561564136178974e-05,4.5450377023178790e-11,-1.3130432120488260e-09,6.4076508747982707e-09
