j1,j2,j3,j4
9.7285318559556777e-01,5.5401662049861494e-02,-5.3897683412496830e-02,-1.3474420853124208e-02
9.1570881226053646e-01,9.5785440613026823e-02,-8.7711572055606951e-02,-4.3855786027803476e-02
7.7008310249307477e-01,1.3850415512465372e-01,-1.0665970948657545e-01,-1.0665970948657545e-01
5.2507374631268433e-01,1.4749262536873156e-01,-7.7444505355853149e-02,-1.5488901071170630e-01
2.8764044943820222e-01,1.1235955056179775e-01,-3.2319151622269914e-02,-1.2927660648907965e-01
1.9092804919600820e-01,8.5694815617597925e-02,-1.6361543972079586e-02,-9.7973317198081347e-02
1.4071038251366119e-01,6.8306010928961741e-02,-9.6113649257965287e-03,-7.6890919406372230e-02
1.1098527746319367e-01,5.6625141562853913e-02,-6.2845570477459622e-03,-6.2845570477459617e-02
9.1367609329681868e-02,4.8260938796578202e-02,-4.4094866018494442e-03,-5.2935013227484326e-02
7.7564666181463113e-02,4.2026802222292541e-02,-3.2597948850464930e-03,-4.5655390546869644e-02
6.7361369557126904e-02,3.7216226274655748e-02,-2.5069359716087423e-03,-4.0110975545739877e-02
