j1,j2,j3,j4
1.2339457598623172e-04,-1.2337934976484890e-02,1.2337934976484890e-02,1.1105664110369622e-01
3.3535013046647811e-04,-3.3523767075647422e-02,6.7047534151294844e-02,2.6829135223027351e-01
9.1105119440064539e-04,-9.1022118012182657e-02,2.7306635403654794e-01,6.3781887534058845e-01
2.4726231566347743e-03,-2.4665092913600475e-01,9.8660371654401902e-01,1.4841860376208733e+00
6.6928509242848554e-03,-6.6480566707901545e-01,3.3240283353950777e+00,3.3509199447766567e+00
1.7986209962091559e-02,-1.7662706213291117e+00,1.0597623727974669e+01,7.2271288262692783e+00
4.7425873177566781e-02,-4.5176659730912139e+00,3.1623661811638492e+01,1.4458191710647048e+01
1.1920292202211755e-01,-1.0499358540350652e+01,8.3994868322805218e+01,2.5353603384701305e+01
2.6894142136999510e-01,-1.9661193324148183e+01,1.7695073991733364e+02,3.5319046487190917e+01
5.0000000000000000e-01,-2.5000000000000000e+01,2.5000000000000000e+02,3.4657359027997266e+01
7.3105857863000490e-01,-1.9661193324148186e+01,2.1627312656563006e+02,2.2901264401630876e+01
8.8079707797788231e-01,-1.0499358540350650e+01,1.2599230248420780e+02,1.1179782124019464e+01
9.5257412682243336e-01,-4.5176659730912148e+00,5.8729657650185786e+01,4.6283053999971830e+00
9.8201379003790845e-01,-1.7662706213291115e+00,2.4727788698607561e+01,1.7823479503483226e+00
9.9330714907571527e-01,-6.6480566707901567e-01,9.9720850061852353e+00,6.6704036627756802e-01
