j1,j2
7.6708261754795393e-03,3.7913947479509407e+04
1.1295687418697131e-02,5.5525096050554108e+04
1.3818215702409264e-02,6.7665601604904630e+04
1.8550734836012994e-02,9.0188660607848855e+04
2.3159847506003306e-02,1.1180745461903368e+05
2.7704627804795989e-02,1.3281970247892509e+05
3.1705747525093697e-02,1.5106901028711410e+05
3.5819257638023072e-02,1.6958853604685966e+05
4.0835229999860223e-02,1.9184001343014496e+05
4.4563699043328908e-02,2.0814532089104992e+05
4.9711258413794868e-02,2.3032934027031632e+05
5.4506146188821214e-02,2.5065366464724849e+05
6.2517394535407500e-02,2.8388464934069128e+05
6.8305009375087655e-02,3.0732994482418988e+05
