j1,j2,j3,j4,j5,j6,j7,j8
9.8955762760760557e-01,-9.7746732008830548e+01,2.5829645478161789e-04,-6.4509904382557964e-03,1.8541859727331782e-02,2.0450393175911603e-41,-1.5499284145259935e-39,1.5002360077088177e-38
9.7922429835639258e-01,-1.9345204846610952e+02,3.3055484724146714e-04,-8.1314735500446281e-03,2.3020455759810481e-02,5.8425918299745585e-41,-4.4032035495950527e-39,4.2380877466703950e-38
9.6899887357727399e-01,-2.8714792520393235e+02,4.2144901454590979e-04,-1.0209094848802622e-02,2.8460883326739184e-02,1.6593612009515941e-40,-1.2434935037023140e-38,1.1901017037753853e-37
9.5888022649156945e-01,-3.7886589284966595e+02,5.3533172735029545e-04,-1.2766656886771801e-02,3.5038889220299400e-02,4.6849807913203020e-40,-3.4908867312502947e-38,3.3220155962890228e-37
9.4886724208684092e-01,-4.6863704263719092e+02,6.7745016364833459e-04,-1.5901415278852613e-02,4.2954943051974483e-02,1.3149407887163454e-39,-9.7419368906700029e-38,9.2176962591907020e-37
9.3895881699402595e-01,-5.5649203214532361e+02,8.5409887277438626e-04,-1.9726931655857826e-02,5.2436038234826947e-02,3.6689017247972173e-39,-2.7025393135222382e-37,2.5424119921527359e-36
9.2915385936585215e-01,-6.4246109096430530e+02,1.0727916223593104e-03,-2.4375010872897999e-02,6.3737232614087910e-02,1.0176477104549179e-38,-7.4527356426817855e-37,6.9706285376266786e-36
9.1945128875652349e-01,-7.2657402629123669e+02,1.3424528030542646e-03,-2.9997687895241015e-02,7.7142814326285683e-02,2.8060172723108981e-38,-2.0430369976169057e-36,1.8997659064389896e-35
9.0985003600266090e-01,-8.0886022845532011e+02,1.6736286692724659e-03,-3.6769219043489766e-02,9.2966963270492795e-02,7.6915650845791571e-38,-5.5674124025354536e-36,5.1467139656424707e-35
9.0034904310548769e-01,-8.8934867637376931e+02,2.0787181852038152e-03,-4.4888020452389786e-02,1.1155376485639637e-01,2.0959001938965822e-37,-1.5081586345275323e-35,1.3859942181658696e-34
8.9094726311424421e-01,-9.6806794293923042e+02,2.5722226141035895e-03,-5.4578483896853568e-02,1.3327642144495100e-01,5.6775108854068314e-37,-4.0612240549604155e-35,3.7101706955666503e-34
8.8164366001082062e-01,-1.0450462003395487e+03,3.1710122281074188e-03,-6.6092586873329806e-02,1.5853549923577409e-01,1.5288921558682275e-36,-1.0871337686192538e-34,9.8724987235874022e-34
8.7243720859559404e-01,-1.1203112253107086e+03,3.8946076219198646e-03,-7.9711200406009999e-02,1.8775604549474781e-01,4.0928631959347086e-36,-2.8928435607077263e-34,2.6113232472661572e-33
8.6332689437445775e-01,-1.1938904043237601e+03,4.7654720876346666e-03,-9.5744984995302054e-02,2.2138341422350619e-01,1.0892036897860593e-35,-7.6521354536650152e-34,6.8658476259384121e-33
8.5431171344703039e-01,-1.2658107387065413e+03,5.8093103563559827e-03,-1.1453475306888899e-01,2.5987764891689991e-01,2.8815255741101620e-35,-2.0121293506096118e-33,1.7944331365315158e-32
8.4539067239603194e-01,-1.3360988497009876e+03,7.0553677486630152e-03,-1.3645116596533854e-01,3.0370629013381462e-01,7.5782224977282039e-35,-5.2595004240583098e-33,4.6618640403697302e-32
8.3656278817781582e-01,-1.4047809834568200e+03,8.5367224215043974e-03,-1.6189362569975316e-01,3.5333550427077470e-01,1.9812702800069559e-34,-1.3666214891718100e-32,1.2039008817527579e-31
8.2782708801404337e-01,-1.4718830159623869e+03,1.0290561983601712e-02,-1.9128821742510360e-01,4.0921946898831313e-01,5.1493403405933010e-34,-3.5299369355306513e-32,3.0904396182607668e-31
8.1918260928448927e-01,-1.5374304579134264e+03,1.2358434313808156e-02,-2.2508455854996143e-01,4.7178800067455634e-01,1.3304267498485015e-33,-9.0635929210821044e-32,7.8858367360592354e-31
8.1062839942096732e-01,-1.6014484595205104e+03,1.4786461005438135e-02,-2.6375141584853157e-01,5.4143247018425067e-01,3.4171326558414350e-33,-2.3133874242621052e-31,2.0001974472232843e-30
8.0216351580236289e-01,-1.6639618152559194e+03,1.7625500531944921e-02,-3.0777096350933342e-01,6.1849012438395368e-01,8.7249753459208669e-33,-5.8696292324915192e-31,5.0430711587454654e-30
7.9378702565076231e-01,-1.7249949685406873e+03,2.0931247051685042e-02,-3.5763157373105287e-01,7.0322701167500801e-01,2.2146141849343010e-32,-1.4804272454799277e-30,1.2639038235698518e-29
7.8549800592866592e-01,-1.7845720163725509e+03,2.4764249815512687e-02,-4.1381905785507467e-01,7.9581979788932333e-01,5.5880906852246919e-32,-3.7117383029748285e-30,3.1486850235572063e-29
7.7729554323727545e-01,-1.8427167138955222e+03,2.9189837489872826e-02,-4.7680631057880812e-01,8.9633685227671278e-01,1.4017169100121621e-31,-9.2508423653771713e-30,7.7972276701755516e-29
7.6917873371584333e-01,-1.8994524789118082e+03,3.4277931442386909e-02,-5.4704135270044152e-01,1.0047190785202322e+00,3.4953339803439401e-31,-2.2919156717946568e-29,1.9193163199837167e-28
7.6114668294207211e-01,-1.9548023963367687e+03,4.0102732239272194e-02,-6.2493381894387401e-01,1.1207610589292203e+00,8.6646005249732957e-31,-5.6445480442088419e-29,4.6962128209184573e-28
7.5319850583355530e-01,-2.0087892225976243e+03,4.6742264353404166e-02,-7.1083999614697646e-01,1.2440931666550994e+00,2.1352066310351583e-30,-1.3818874080061557e-28,1.1422032093678351e-27
7.4533332655024620e-01,-2.0614353899765952e+03,5.4277765449838908e-02,-8.0504658247089189e-01,1.3741653759506092e+00,5.2307356651021731e-30,-3.3630153218674987e-28,2.7614226646572773e-27
7.3755027839794640e-01,-2.1127630108991561e+03,6.2792908661328875e-02,-9.0775340883451072e-01,1.5102335588354041e+00,1.2738466132162995e-29,-8.1357479147294288e-28,6.6361439336046017e-27
