j1,j2,j3,j4
1.0000000000000000e+00,4.8686800000000003e+03,6.3359750089112731e-05,-1.6112917194413539e-05
1.0000000000000000e+00,4.8680900000000001e+03,6.3366710523231007e-05,-1.6116702442699737e-05
1.0000000000000000e+00,4.8674099999999999e+03,6.3374734466322660e-05,-1.6121066720846228e-05
1.0000000000000000e+00,3.3751900000000001e+03,8.6693364241633469e-05,-3.2256095637764022e-05
1.0000000000000000e+00,3.3731399999999999e+03,8.6735082588253811e-05,-3.2292143408571939e-05
1.0000000000000000e+00,3.3720300000000002e+03,8.6757684741104512e-05,-3.2311686014508061e-05
1.0000000000000000e+00,2.4737399999999998e+03,1.0814247786162916e-04,-5.5845737231340426e-05
1.0000000000000000e+00,2.4723499999999999e+03,1.0817993268779613e-04,-5.5898516255239457e-05
1.0000000000000000e+00,2.4694499999999998e+03,1.0825810674386232e-04,-5.6008850413949340e-05
1.0000000000000000e+00,1.8946500000000001e+03,1.2385451944055349e-04,-8.5189249034857528e-05
1.0000000000000000e+00,1.8934000000000001e+03,1.2388624795460550e-04,-8.5272167916442923e-05
1.0000000000000000e+00,1.4972400000000000e+03,1.3174577071541410e-04,-1.1734726170429688e-04
1.0000000000000000e+00,1.4958499999999999e+03,1.3176137233324560e-04,-1.1748236935757680e-04
1.0000000000000000e+00,1.4934100000000001e+03,1.3178846684013361e-04,-1.1771995162173897e-04
1.0000000000000000e+00,1.2086800000000001e+03,1.3159476353589419e-04,-1.4916095160300848e-04
1.0000000000000000e+00,1.2061800000000001e+03,1.3155562723077979e-04,-1.4946955317932144e-04
1.0000000000000000e+00,1.2060400000000000e+03,1.3155341178035831e-04,-1.4948685100605089e-04
1.0000000000000000e+00,9.9791999999999996e+02,1.2501402424138861e-04,-1.7692332895752707e-04
1.0000000000000000e+00,9.9661000000000001e+02,1.2494935488730326e-04,-1.7710542736887574e-04
1.0000000000000000e+00,9.9630999999999995e+02,1.2493449838796211e-04,-1.7714714237756208e-04
1.0000000000000000e+00,8.3494000000000005e+02,1.1419951039367373e-04,-2.0007506127895649e-04
1.0000000000000000e+00,8.3465999999999997e+02,1.1417576060714009e-04,-2.0011525827208851e-04
1.0000000000000000e+00,7.1002999999999997e+02,1.0165355263951379e-04,-2.1781737258256981e-04
1.0000000000000000e+00,5.3015999999999997e+02,7.6369223604511114e-05,-2.4106446844858310e-04
1.0000000000000000e+00,4.6417000000000002e+02,6.4992029431397061e-05,-2.4824278358110725e-04
