j1,j2,j3,j4,j5
1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,-0.0000000000000000e+00,0.0000000000000000e+00
1.0000000000000000e+00,4.5399929762484854e-05,2.0611536224385579e-09,-6.8099894643727288e-02,2.0611536224385580e-06
1.0000000000000000e+00,2.0611536224385579e-09,4.2483542552915889e-18,-6.1834608673156737e-06,8.4967085105831775e-15
1.0000000000000000e+00,9.3576229688401748e-14,8.7565107626965200e-27,-4.2109303359780785e-10,2.6269532288089561e-23
1.0000000000000000e+00,4.2483542552915889e-18,1.8048513878454153e-35,-2.5490125531749534e-14,7.2194055513816608e-32
1.0000000000000000e+00,1.9287498479639178e-22,3.7200759760208361e-44,-1.4465623859729384e-18,1.8600379880104183e-40
1.0000000000000000e+00,8.7565107626965200e-27,7.6676480737219997e-53,-7.8808596864268682e-23,4.6005888442331996e-49
1.0000000000000000e+00,3.9754497359086468e-31,1.5804200602736130e-61,-4.1742222227040794e-27,1.1062940421915291e-57
1.0000000000000000e+00,1.8048513878454153e-35,3.2574885322075211e-70,-2.1658216654144986e-31,2.6059908257660169e-66
1.0000000000000000e+00,8.1940126239905147e-40,6.7141842882115936e-79,-1.1061917042387195e-35,6.0427658593904347e-75
1.0000000000000000e+00,3.7200759760208361e-44,1.3838965267367376e-87,-5.5801139640312544e-40,1.3838965267367375e-83
1.0000000000000000e+00,1.6889118802245324e-48,2.8524233391635650e-96,-2.7867046023704786e-44,3.1376656730799215e-92
1.0000000000000000e+00,7.6676480737219997e-53,5.8792826982452694e-105,-1.3801766532699599e-48,7.0551392378943233e-101
1.0000000000000000e+00,3.4811068399043105e-57,1.2118104830828574e-113,-6.7881583378134056e-53,1.5753536280077146e-109
1.0000000000000000e+00,1.5804200602736130e-61,2.4977275669152505e-122,-3.3188821265745874e-57,3.4968185936813506e-118
1.0000000000000000e+00,7.1750959731644108e-66,5.1482002224120135e-131,-1.6143965939619925e-61,7.7223003336180210e-127
1.0000000000000000e+00,3.2574885322075211e-70,1.0611231537463512e-139,-7.8179724772980508e-66,1.6977970459941620e-135
1.0000000000000000e+00,1.4788975056432133e-74,2.1871378321977182e-148,-3.7711886393901939e-70,3.7181343147361210e-144
1.0000000000000000e+00,6.7141842882115936e-79,4.5080270656067418e-157,-1.8128297578171303e-74,8.1144487180921356e-153
1.0000000000000000e+00,3.0482349509718567e-83,9.2917363163263979e-166,-8.6874696102697915e-79,1.7654299001020156e-161
1.0000000000000000e+00,1.3838965267367376e-87,1.9151695967140057e-174,-4.1516895802102124e-83,3.8303391934280111e-170
1.0000000000000000e+00,6.2828805112394624e-92,3.9474587518512645e-183,-1.9791073610404307e-87,8.2896633788876552e-179
1.0000000000000000e+00,2.8524233391635650e-96,8.1363189058050232e-192,-9.4129970192397646e-92,1.7899901592771052e-187
1.0000000000000000e+00,1.2949981925089835e-100,1.6770203186015345e-200,-4.4677437641559930e-96,3.8571467327835292e-196
1.0000000000000000e+00,5.8792826982452694e-105,3.4565965045886174e-209,-2.1165417713682971e-100,8.2958316110126825e-205
1.0000000000000000e+00,2.6691902155412764e-109,7.1245764067412855e-218,-1.0009463308279787e-104,1.7811441016853215e-213
1.0000000000000000e+00,1.2118104830828574e-113,1.4684846469095084e-226,-4.7260608840231439e-109,3.8180600819647221e-222
1.0000000000000000e+00,5.5016110817404571e-118,3.0267724494729401e-235,-2.2281524881048853e-113,8.1722856135769380e-231
1.0000000000000000e+00,2.4977275669152505e-122,6.2386429985283769e-244,-1.0490455781044052e-117,1.7468200395879455e-239
1.0000000000000000e+00,1.1339665610377455e-126,1.2858801615517710e-252,-4.9327545405141928e-122,3.7290524685001357e-248
1.0000000000000000e+00,5.1482002224120135e-131,2.6503965530043108e-261,-2.3166901000854060e-126,7.9511896590129316e-257
1.0000000000000000e+00,2.3372792850071431e-135,5.4628744561235025e-270,-1.0868348675283215e-130,1.6934910813982857e-265
1.0000000000000000e+00,1.0611231537463512e-139,1.1259823474166023e-278,-5.0933911379824855e-135,3.6031435117331270e-274
