j1,j2,j3,j4,j5
1.0127736584053200e+00,9.7732658036113396e+00,9.4312015004849428e+01,-2.8239915513222167e+00,-2.7251518470259391e+01
1.0139962387553596e+00,1.0890319604232563e+01,1.1696203254945773e+02,-1.9586403040141678e+00,-2.1035796865112161e+01
1.0151516232190199e+00,1.1988940670216623e+01,1.4158938931525833e+02,-9.3945108405634747e-01,-1.1094917302705465e+01
1.0162623438476324e+00,1.3089458988757505e+01,1.6859223177519667e+02,2.2965132622511092e-01,2.9579090817794285e+00
1.0174351016200751e+00,1.4305137528778255e+01,2.0113023365462229e+02,1.6707312406048351e+00,2.3490481242903982e+01
1.0185897020939663e+00,1.5564050647995805e+01,2.3781869390137589e+02,3.3023228243275535e+00,5.0459492755725023e+01
1.0197982219487585e+00,1.6959244431007853e+01,2.8203223488766059e+02,5.2422507538882011e+00,8.7178630037160787e+01
1.0211036369524344e+00,1.8573875156164785e+01,3.3785878909063746e+02,7.6111811136725391e+00,1.3844738445770352e+02
1.0224067723701129e+00,2.0325446634717846e+01,4.0406987909819071e+02,1.0265003788172255e+01,2.0406827530886437e+02
1.0237722873588921e+00,2.2359186755918206e+01,4.8832463874925361e+02,1.3357556716740531e+01,2.9172903869361318e+02
1.0250943086763984e+00,2.4602263408233558e+01,5.9045432179760542e+02,1.6644962532222962e+01,3.9947910077335109e+02
1.0262659953176614e+00,2.6939482377088613e+01,7.0716141239857609e+02,1.9763338551550692e+01,5.1878763697820568e+02
1.0273606777897830e+00,2.9649629161013138e+01,8.5568829758683910e+02,2.2746679989057743e+01,6.5646918448420638e+02
1.0282634137347921e+00,3.2750189727453126e+01,1.0430935428193823e+03,2.4968727666166782e+01,7.9525397616741191e+02
1.0288769946912888e+00,3.6823507640001232e+01,1.3179133384356439e+03,2.5239837708168910e+01,9.0333379157536535e+02
1.0287868468959662e+00,4.1336655508279925e+01,1.6609068183226873e+03,2.0877119618253730e+01,8.3884266626143494e+02
1.0278301964325758e+00,4.5985122988393435e+01,2.0573744025007227e+03,9.7758461170252318e+00,4.3737135527570888e+02
1.0258836413351655e+00,5.0812016755330745e+01,2.5167191898915321e+03,-1.0610612260288713e+01,-5.2554362525210001e+02
1.0232477048820026e+00,5.5193981201335212e+01,2.9771633460000212e+03,-3.8563082134421784e+01,-2.0800926503307105e+03
1.0198675481289419e+00,5.9448079380436013e+01,3.4652285470856154e+03,-7.5835583480903296e+01,-4.4204561611018535e+03
1.0157385251272248e+00,6.3615703828718090e+01,3.9842515307926146e+03,-1.2353412913444116e+02,-7.7369425076900507e+03
