j1,j2,j3,j4,j5,j6,j7,j8
9.8955493256789928e-01,-9.6976383391654124e+01,1.8058314375132171e-12,-9.6720331793207898e-11,5.0294572532468110e-10,7.8626785029845563e-25,-4.2761177038481510e-23,3.1857076893668724e-22
9.7921896456945956e-01,-1.9192691705561407e+02,3.0298742467236514e-12,-1.6071967941745610e-10,8.2770634899989883e-10,1.6520917823142719e-24,-8.9245998080616965e-23,6.6042038579656555e-22
9.6899095645373967e-01,-2.8488334119739949e+02,5.0582527428437852e-12,-2.6571001658158403e-10,1.3551210845660784e-09,3.4540319570138653e-24,-1.8532608465357895e-22,1.3621467222038053e-21
9.5886978057248451e-01,-3.7587695398441394e+02,8.4024313964842976e-12,-4.3705246908813072e-10,2.2071149688950603e-09,7.1853356359021996e-24,-3.8290653603722820e-22,2.7952177130717660e-21
9.4885432105580125e-01,-4.6493861731734262e+02,1.3887943864964021e-11,-7.1522910904564707e-10,3.5761455452282355e-09,1.4872921816512705e-23,-7.8714938713893498e-22,5.7068330567572782e-21
9.3894347368913322e-01,-5.5209876252921038e+02,2.2840176579937026e-11,-1.1645064029280893e-09,5.7643066944940423e-09,3.0631908645774301e-23,-1.6100131184218973e-21,1.1592094452637661e-20
9.2913614579151926e-01,-6.3738739601298221e+02,3.7375713279442560e-11,-1.8863522492134659e-09,9.2431260211459832e-09,6.2774078897471814e-23,-3.2764930480535415e-21,2.3426925293582820e-20
9.1943125609512466e-01,-7.2083410477857774e+02,6.0856651055183322e-11,-3.0400940034616826e-09,1.4744455916789160e-08,1.2800153190516462e-22,-6.6343193986446820e-21,4.7103667730377243e-20
9.0982773462602995e-01,-8.0246806194015846e+02,9.8595055759915160e-11,-4.8745395567702056e-09,2.3397789872496985e-08,2.5970392492468468e-22,-1.3365662496248896e-20,9.4227920598554725e-20
9.0032452258626561e-01,-8.8231803213454032e+02,1.5893910094516368e-10,-7.7760955137421321e-09,3.6936453690275130e-08,5.2428856633634639e-22,-2.6791145739787303e-20,1.8753802017851111e-19
8.9092057223707810e-01,-9.6041237687157025e+02,2.5493818803919690e-10,-1.2341557682977522e-08,5.8005321109994351e-08,1.0531513477440116e-21,-5.3431633627792426e-20,3.7134985371315736e-19
8.8161484678341606e-01,-1.0367790598172974e+03,4.0688114506557984e-10,-1.9487572442915948e-08,9.0617211859559156e-08,2.1049399783397356e-21,-1.0602582670897248e-19,7.3157820429191016e-19
8.7240632025962206e-01,-1.1114456520107585e+03,6.4614317731061084e-10,-3.0614263740976739e-08,1.4082561320849302e-07,4.1861730061459700e-21,-2.0932958117232925e-19,1.4339076310304553e-18
8.6329397741631941e-01,-1.1844393370151902e+03,1.0209829471593342e-09,-4.7848365818622205e-08,2.1771006447473103e-07,8.2836770076828591e-21,-4.1120172666137716e-19,2.7961717412973644e-18
8.5427681360847951e-01,-1.2557869160044650e+03,1.6052280551856116e-09,-7.4402320357853093e-08,3.3481044161033888e-07,1.6310139226701858e-20,-8.0368211039573396e-19,5.4248542451712044e-18
8.4535383468465874e-01,-1.3255148127855450e+03,2.5112128332712955e-09,-1.1510144021298985e-07,5.1220140894780474e-07,3.1953667177483426e-20,-1.5628538616507145e-18,1.0471120873059787e-17
