j1,j2,j3,j4,j5,j6
1.0000000000000000e+00,-0.0000000000000000e+00,1.0000000000000000e+00,-0.0000000000000000e+00,1.0000000000000000e+00,-0.0000000000000000e+00
9.8511193960306265e-01,-5.9106716376183754e-02,7.5957212322496848e-01,-2.1268019450299114e-01,6.8386140921235583e-01,-2.2225495799401565e-01
9.7044553354850815e-01,-1.1645346402582098e-01,5.7694981038048665e-01,-3.2309189381307252e-01,4.6766642700990924e-01,-3.0398317755644100e-01
9.5599748183309996e-01,-1.7207954672995798e-01,4.3823499246494924e-01,-3.6811739367055735e-01,3.1981902181630395e-01,-3.1182354627089637e-01
9.4176453358424872e-01,-2.2602348806021968e-01,3.3287108369807955e-01,-3.7281561374184907e-01,2.1871188695221475e-01,-2.8432545303787921e-01
9.2774348632855286e-01,-2.7832304589856582e-01,2.5283959580474646e-01,-3.5397543412664501e-01,1.4956861922263506e-01,-2.4304900623678197e-01
9.1393118527122819e-01,-3.2901522669764216e-01,1.9204990862075413e-01,-3.2264384648286693e-01,1.0228420671553748e-01,-1.9945420309529807e-01
9.0032452258626561e-01,-3.7813629948623156e-01,1.4587575685622742e-01,-2.8591648343820569e-01,6.9948221744655384e-02,-1.5913220446909099e-01
8.8692043671715748e-01,-4.2572180962423556e-01,1.1080315836233387e-01,-2.4819907473162783e-01,4.7834889494198368e-02,-1.2437071268491576e-01
8.7371591168803442e-01,-4.7180659231153860e-01,8.4162990257310361e-02,-2.1209073544842211e-01,3.2712434939019819e-02,-9.5683872196632977e-02
8.6070797642505781e-01,-5.1642478585503471e-01,6.3927861206707570e-02,-1.7899801137878119e-01,2.2370771856165601e-02,-7.2705008532538209e-02
8.4789370408791587e-01,-5.5960984469802455e-01,4.8557821270009946e-02,-1.4955808951163063e-01,1.5298507566725518e-02,-5.4692164551043733e-02
8.3527021141127200e-01,-6.0139455221611582e-01,3.6883167401240015e-02,-1.2392744246816645e-01,1.0462058943426803e-02,-4.0802029879364529e-02
8.2283465805601841e-01,-6.4181103328369438e-01,2.8015425774221808e-02,-1.0197614981816737e-01,7.1545983723145853e-03,-3.0228178123029126e-02
8.1058424597018708e-01,-6.8089076661495707e-01,2.1279736438377175e-02,-8.3416566838438511e-02,4.8927537252394801e-03,-2.2262029449839633e-02
7.9851621875937706e-01,-7.1866459688343931e-01,1.6163494588165874e-02,-6.7886677270296666e-02,3.3459654574712751e-03,-1.6311581605172466e-02
7.8662786106655347e-01,-7.5516274662389127e-01,1.2277339903068436e-02,-5.5002482765746590e-02,2.2881766529221693e-03,-1.1898518595195281e-02
7.7491649796108097e-01,-7.9041482792030260e-01,9.3255251377283264e-03,-4.4389499655586834e-02,1.5647957103941666e-03,-8.6454962999277692e-03
7.6337949433685315e-01,-8.2444985388380143e-01,7.0834089290521185e-03,-3.5700381002422676e-02,1.0701033996396044e-03,-6.2601048878916862e-03
7.5201425431938262e-01,-8.5729624992409614e-01,5.3803599599108205e-03,-2.8623514986725562e-02,7.3180241888047277e-04,-4.5188799365869191e-03
7.4081822068171788e-01,-8.8898186481806141e-01,4.0867714384640666e-03,-2.2885920055398773e-02,5.0045143344061083e-04,-3.2529343173639705e-03
7.2978887426905681e-01,-9.1953398157901156e-01,3.1041976586493087e-03,-1.8252682232857934e-02,3.4223942251503971e-04,-2.3357840586651461e-03
7.1892373343192617e-01,-9.4897932813014263e-01,2.3578620064902307e-03,-1.4524429959979821e-02,2.3404433376915794e-04,-1.6734169864494794e-03
7.0822035346779999e-01,-9.7734408778556392e-01,1.7909662505412715e-03,-1.1533822653485787e-02,1.6005388790954348e-04,-1.1964028121238374e-03
