j1,j2
2.2750371354858880e-02,3.3349187937112358e+04
3.3321410964068557e-02,4.8316641803148312e+04
4.0610938954074041e-02,5.8442535887013772e+04
5.4140970829707542e-02,7.6814589160986448e+04
6.7138072893830975e-02,9.3945828092900425e+04
7.9782828747584425e-02,1.1012629347692707e+05
9.0776840267675296e-02,1.2380460830803840e+05
1.0194697894963717e-01,1.3733068864901911e+05
1.1538869820600826e-01,1.5311121979849649e+05
1.2525476954836903e-01,1.6434901838063102e+05
1.3870323158547507e-01,1.7919696769983176e+05
1.5105311860636880e-01,1.9235411094848864e+05
1.7131421278993642e-01,2.1294847992915119e+05
1.8566775244299674e-01,2.2679285721864423e+05
