j1,j2,j3,j4,j5,j6,j7,j8,j9
1.0000000000000000e+00,8.6602540378443871e-01,4.9999999999999994e-01,-2.2990193809025367e-03,9.8982144188093268e-01,1.4231483827328514e-01,-1.3759286255368893e-02,9.7094181742605201e-01,2.3931566428755774e-01
1.0000000000000000e+00,5.0000000000000011e-01,8.6602540378443860e-01,-5.8570277578808292e-03,9.5949297361449737e-01,2.8173255684142967e-01,-2.5553907149277955e-02,8.8545602565320991e-01,4.6472317204376851e-01
1.0000000000000000e+00,6.1232339957367660e-17,1.0000000000000000e+00,-1.0495176838619138e-02,9.0963199535451844e-01,4.1541501300188638e-01,-3.3156212383462884e-02,7.4851074817110108e-01,6.6312265824079519e-01
1.0000000000000000e+00,-4.9999999999999983e-01,8.6602540378443871e-01,-1.5988214007431313e-02,8.4125353283118121e-01,5.4064081745559756e-01,-3.4739527329613752e-02,5.6806474673115581e-01,8.2298386589365635e-01
1.0000000000000000e+00,-8.6602540378443871e-01,4.9999999999999994e-01,-2.2071731207142908e-02,7.5574957435425827e-01,6.5486073394528510e-01,-2.9064795532404812e-02,3.5460488704253557e-01,9.3501624268541483e-01
1.0000000000000000e+00,-1.0000000000000000e+00,1.2246467991473532e-16,-2.8450653728683207e-02,6.5486073394528510e-01,7.5574957435425827e-01,-1.5619249959218718e-02,1.2053668025532301e-01,9.9270887409805397e-01
1.0000000000000000e+00,-8.6602540378443882e-01,-4.9999999999999978e-01,-3.4808732867754065e-02,5.4064081745559767e-01,8.4125353283118109e-01,5.3048202134836258e-03,-1.2053668025532288e-01,9.9270887409805397e-01
1.0000000000000000e+00,-5.0000000000000044e-01,-8.6602540378443837e-01,-4.0818778244899066e-02,4.1541501300188644e-01,9.0963199535451833e-01,3.2598630679030495e-02,-3.5460488704253545e-01,9.3501624268541483e-01
1.0000000000000000e+00,-1.8369701987210297e-16,-1.0000000000000000e+00,-4.6153344245230293e-02,2.8173255684142978e-01,9.5949297361449737e-01,6.4395107731849907e-02,-5.6806474673115570e-01,8.2298386589365646e-01
1.0000000000000000e+00,5.0000000000000011e-01,-8.6602540378443860e-01,-5.0495571079300396e-02,1.4231483827328512e-01,9.8982144188093268e-01,9.8193718172342459e-02,-7.4851074817110119e-01,6.6312265824079519e-01
1.0000000000000000e+00,8.6602540378443837e-01,-5.0000000000000044e-01,-5.3549874777098744e-02,2.8327694488239898e-16,1.0000000000000000e+00,1.3104372012830554e-01,-8.8545602565320958e-01,4.6472317204376906e-01
1.0000000000000000e+00,1.0000000000000000e+00,-2.4492935982947064e-16,-5.5052182190827768e-02,-1.4231483827328500e-01,9.8982144188093280e-01,1.5977298063023915e-01,-9.7094181742605201e-01,2.3931566428755768e-01
1.0000000000000000e+00,8.6602540378443860e-01,5.0000000000000000e-01,-5.4779416789774549e-02,-2.8173255684142967e-01,9.5949297361449737e-01,1.8124573001479577e-01,-1.0000000000000000e+00,-3.2162452993532732e-16
1.0000000000000000e+00,5.0000000000000056e-01,8.6602540378443837e-01,-5.2557958475549720e-02,-4.1541501300188632e-01,9.0963199535451844e-01,1.9263000757516455e-01,-9.7094181742605212e-01,-2.3931566428755743e-01
1.0000000000000000e+00,1.1943401194869635e-15,1.0000000000000000e+00,-4.8270825428440703e-02,-5.4064081745559722e-01,8.4125353283118143e-01,1.9165430361958469e-01,-8.8545602565321013e-01,-4.6472317204376806e-01
1.0000000000000000e+00,-4.9999999999999922e-01,8.6602540378443915e-01,-4.1863357531801031e-02,-6.5486073394528510e-01,7.5574957435425827e-01,1.7683313271180207e-01,-7.4851074817110130e-01,-6.6312265824079497e-01
1.0000000000000000e+00,-8.6602540378443882e-01,4.9999999999999978e-01,-3.3347218456905567e-02,-7.5574957435425816e-01,6.5486073394528521e-01,1.4764299115085849e-01,-5.6806474673115592e-01,-8.2298386589365635e-01
