j1,j2,j3,j4,j5,j6
1.0000000000000000e+00,-0.0000000000000000e+00,1.0000000000000000e+00,-0.0000000000000000e+00,1.0000000000000000e+00,-0.0000000000000000e+00
9.5337300529869951e-01,-4.1384213227940768e-03,8.6279361988258629e-01,-3.6410226154103192e-02,7.7933224242191979e-01,-6.1667336405456449e-02
9.0892008723227424e-01,-7.8909183474088172e-03,7.4441283051009677e-01,-6.2829021648484626e-02,6.0735874407837798e-01,-9.6118687130102534e-02
8.6653987514098940e-01,-1.1284482809153685e-02,6.4227464072284857e-01,-8.1312718532666126e-02,4.7333425197716322e-01,-1.1236258796963060e-01
8.2613572497432497e-01,-1.4344428385339151e-02,5.5415046222805397e-01,-9.3541459687057155e-02,3.6888464400846460e-01,-1.1675705019560324e-01
7.8761549890339211e-01,-1.7094488498778444e-02,4.7811748326535108e-01,-1.0088371826562130e-01,2.8748369681012831e-01,-1.1374066718438515e-01
7.5089135520936157e-01,-1.9556908648949354e-02,4.1251671411566415e-01,-1.0445019416353248e-01,2.2404531409478065e-01,-1.0637012305364660e-01
7.1587954796876241e-01,-2.1752533568501140e-02,3.5591678903392387e-01,-1.0513878797309203e-01,1.7460573703760876e-01,-9.6713944280442929e-02
6.8250023607885346e-01,-2.3700889486928889e-02,3.0708273478756593e-01,-1.0367208624613922e-01,1.3607588058525164e-01,-8.6139765793767059e-02
6.5067730118756850e-01,-2.5420261768206467e-02,2.6494902435080819e-01,-1.0062856639472188e-01,1.0604832115604156e-01,-7.5522933942474904e-02
6.2033817411283931e-01,-2.6927768174927369e-02,2.2859632780399330e-01,-9.6468538959219197e-02,8.2646875931617791e-02,-6.5397174959634999e-02
5.9141366935546558e-01,-2.8239427998008906e-02,1.9723145315787366e-01,-9.1555683926749926e-02,6.4409375148953854e-02,-5.6062739710286039e-02
5.6383782732815169e-01,-2.9370227278230531e-02,1.7017003942478459e-01,-8.6174901770167081e-02,5.0196302767828917e-02,-4.7663455259709442e-02
5.3754776394092907e-01,-3.0334180333765188e-02,1.4682162431087228e-01,-8.0547085061417806e-02,3.9119597197341711e-02,-4.0241139758220038e-02
5.1248352719995949e-01,-3.1144387796387844e-02,1.2667676071621867e-01,-7.4841319636602899e-02,3.0487163406446582e-02,-3.3773619045801929e-02
4.8858796049270325e-01,-3.1813091348175455e-02,1.0929590093334650e-01,-6.9184942592201037e-02,2.3759629422629502e-02,-2.8200932427501935e-02
4.6580657224769079e-01,-3.2351725340215569e-02,9.4299806004610548e-02,-6.3671815531193651e-02,1.8516645277051665e-02,-2.3443088967588382e-02
4.4408741167166682e-01,-3.2770965465086871e-02,8.1361270976943567e-02,-5.8369113469570764e-02,1.4430618685895933e-02,-1.9411827287807683e-02
4.2338095028073774e-01,-3.3080774645636225e-02,7.0197985504445143e-02,-5.3322880976204169e-02,1.1246246420014930e-02,-1.6018160706756181e-02
4.0363996895536625e-01,-3.3290446293825847e-02,6.0566374021845559e-02,-4.8562566027806807e-02,8.7645624413397287e-03,-1.3176995164352705e-02
3.8481945026165132e-01,-3.3408645085136530e-02,5.2256281085470757e-02,-4.4104707509387935e-02,6.8305061012562240e-03,-1.0809744410334509e-02
3.6687647579334393e-01,-3.3443445386162958e-02,4.5086385919335233e-02,-3.9955923258181869e-02,5.3232336367686163e-03,-8.8456014688794958e-03
3.4977012830049592e-01,-3.3402367465603829e-02,3.8900246114766508e-02,-3.6115321171471725e-02,4.1485676070786752e-03,-7.2219320677559332e-03
3.3346139838155558e-01,-3.3292411611809417e-02,3.3562884159682921e-02,-3.2576435445245223e-02,3.2331124960635663e-03,-5.8841156272095105e-03
