j1,j2,j3,j4,j5,j6,j7
2.7715921393726890e+00,6.7654564122087336e+01,1.6514479102201519e+03,4.0311843488473911e+04,-2.8570951593971158e+03,-6.9741692840883610e+04,-1.7023947222459689e+06
2.3298319633659181e+00,8.1124748964401277e+01,2.8247637589404521e+03,9.8358274086306541e+04,-6.6869650754867589e+03,-2.3284012392844891e+05,-8.1074931151885912e+06
1.5297061825896012e+00,6.7444745590375533e+01,2.9736388330796572e+03,1.3110773615048209e+05,-6.4223031850172629e+03,-2.8315934742741118e+05,-1.2484495628074558e+07
1.4571864313467884e+00,6.5675392460799756e+01,2.9599899382082449e+03,1.3340674651504561e+05,-6.2760653720417577e+03,-2.8286226631792204e+05,-1.2748602342948748e+07
9.0284744486578150e-01,4.9638552518720658e+01,2.7291276174792620e+03,1.5004743640900980e+05,-4.6831903599317257e+03,-2.5748180598904629e+05,-1.4156349693277761e+07
5.7639545410729398e-01,3.7759666198568830e+01,2.4736357326682446e+03,1.6204787684709669e+05,-3.4008468487682239e+03,-2.2278947706280637e+05,-1.4594938642384447e+07
4.7684198718618021e-01,3.3631665356241292e+01,2.3720413575756984e+03,1.6730007694981401e+05,-2.9618002422113200e+03,-2.0889577108316444e+05,-1.4733418734495586e+07
3.9813800299831115e-01,3.0139046826972155e+01,2.2815258448017926e+03,1.7271150645149569e+05,-2.5977299673876487e+03,-1.9664815853124502e+05,-1.4886265600815248e+07
2.6139116174508126e-01,2.3412806357506931e+01,2.0970850654418955e+03,1.8783590931163056e+05,-1.9239941749044449e+03,-1.7233215824619110e+05,-1.5435791414111335e+07
2.5047306682468296e-01,2.2828115310401603e+01,2.0805544293900025e+03,1.8962173069460480e+05,-1.8675251857387914e+03,-1.7020624542823347e+05,-1.5512597208329199e+07
2.1847805904903328e-01,2.1061284892326810e+01,2.0303078636203045e+03,1.9572167805299736e+05,-1.6992596816589371e+03,-1.6380863331192153e+05,-1.5791152251269238e+07
2.1420847110696686e-01,2.0818921306886111e+01,2.0233909618162611e+03,1.9665336757892242e+05,-1.6764681591623964e+03,-1.6293594038899330e+05,-1.5835744046406260e+07
1.4597168687170078e-01,1.6678724941960532e+01,1.9057111118684104e+03,2.1774655164208458e+05,-1.2990905747224572e+03,-1.4843408906778795e+05,-1.6960079016885452e+07
1.2972288623392669e-01,1.5599177069629684e+01,1.8758010426229696e+03,2.2556507537541210e+05,-1.2047627125223339e+03,-1.4487271618081065e+05,-1.7420944120742481e+07
1.1437630030133106e-01,1.4534940242293152e+01,1.8471002059906136e+03,2.3472949417728718e+05,-1.1136168031234524e+03,-1.4151842334092833e+05,-1.7984161238165174e+07
1.0228967472469287e-01,1.3660786059482735e+01,1.8243979782439196e+03,2.4364834999447549e+05,-1.0402077414390694e+03,-1.3891974386918775e+05,-1.8552731793730024e+07
1.0218705293215713e-01,1.3653212142265517e+01,1.8242056743280957e+03,2.4373212014697690e+05,-1.0395777030308423e+03,-1.3889797690195084e+05,-1.8558158693869654e+07
7.0185455757117182e-02,1.1136326264981783e+01,1.7670008884646595e+03,2.8037003097268753e+05,-8.3647031748796167e+02,-1.3272274527581484e+05,-2.1059117992913544e+07
5.8658938802000168e-02,1.0132745088657510e+01,1.7503303866146982e+03,3.0235207098382304e+05,-7.5941725451064201e+02,-1.3118173654416829e+05,-2.2660333170639638e+07
5.9686663017400901e-02,1.0224922241510948e+01,1.7516314291932404e+03,3.0007198013509403e+05,-7.6638651136413989e+02,-1.3128967326179083e+05,-2.2491233926477384e+07
4.2564018979469806e-02,8.6038907965100258e+00,1.7391904856065366e+03,3.5155996476050530e+05,-6.4757764004548073e+02,-1.3090134415879348e+05,-2.6460397708258510e+07
3.5859333280512412e-02,7.9087759550170125e+00,1.7442805368790023e+03,3.8470107240866398e+05,-5.9961834975175520e+02,-1.3224582703774961e+05,-2.9166817153175674e+07
3.5702282489127206e-02,7.8919895442215697e+00,1.7445242887501781e+03,3.8562709402822691e+05,-5.9848884381744347e+02,-1.3229595892584589e+05,-2.9244021720558237e+07
3.5596149431729389e-02,7.8806315226905683e+00,1.7446930128084648e+03,3.8625758610566601e+05,-5.9772544879494842e+02,-1.3233043710871361e+05,-2.9296635471498109e+07
2.8062204547849808e-02,7.0433327194648241e+00,1.7678060792584763e+03,4.4370164783308498e+05,-5.4367891528450855e+02,-1.3645797094725881e+05,-3.4249586128052495e+07
2.4726046623289696e-02,6.6510592811986946e+00,1.7890684360496368e+03,4.8124151861299190e+05,-5.2036030708248018e+02,-1.3997171900211633e+05,-3.7650992694379278e+07
2.4268340024444401e-02,6.5961348186439883e+00,1.7928294437074362e+03,4.8729104279968113e+05,-5.1723663961472630e+02,-1.4058491864728261e+05,-3.8210980888331413e+07
2.4241136832007619e-02,6.5928619842011127e+00,1.7930606738431770e+03,4.8765871146512887e+05,-5.1705176734851761e+02,-1.4062256916577634e+05,-3.8245120136016205e+07
1.8180980403593519e-02,5.8417308134786339e+00,1.8770065276788198e+03,6.0310096740848164e+05,-4.7995307347988944e+02,-1.5421372203982327e+05,-4.9550411028615616e+07
1.8145513490542588e-02,5.8372302347726448e+00,1.8777785942240121e+03,6.0406259597592242e+05,-4.7977671331738560e+02,-1.5433937090706977e+05,-4.9649432227095276e+07
1.7390499184875681e-02,5.7412994008948575e+00,1.8954325842114281e+03,6.2575811335156078e+05,-4.7622157301037726e+02,-1.5721979011364593e+05,-5.1904541508119069e+07
1.7146346280039214e-02,5.7102477016414595e+00,1.9016837920776550e+03,6.3331775327562133e+05,-4.7516243272777365e+02,-1.5824334497133043e+05,-5.2699781175802164e+07
1.7109772817817493e-02,5.7055959415576005e+00,1.9026450786312132e+03,6.3447505437115068e+05,-4.7500800844592845e+02,-1.5840092057646377e+05,-5.2821954984633379e+07
1.6525087515172267e-02,5.6312540725452527e+00,1.9189624503012458e+03,6.5392483418915549e+05,-4.7270363404348620e+02,-1.6108321737299877e+05,-5.4892327984196797e+07
